SAMPLE_ID,Actinmeanct,CarmmeanCt,TLRaverage,CRAFctaverage,H2AVavgct,PGRPaverage,HSP70averageCt,BMP2average,GRB2average,PGEEP4ctav
H_C_1,26.155,30.32,40.13898568,30.545,27.32,38.57,33.0875,27.01679995,27.82219878,31.71
H_C_2,25.355,30.546,42.55,30.4825,28.475,39.21,33.255,26.73880781,27.3386837,31.49666667
H_C_3,26.48,30.75,41.57,30.74,29.04,38.78921954,32.3575,27.22863294,28.47269672,32.39333333
H_C_4,25.41,30.066,35.23669027,30.38,29.095,38.72794718,33.6775,26.75842512,28.67239065,33.22666667
H_C_5,26.405,29.67,35.89048677,31.195,27.52,37.285319,29.52,25.61689199,27.35499638,30.56666667
H_C_6,30.8075,34.79,40.24333333,35.8975,31.11,45,36.1875,30.67997361,33.40054329,35.50333333
H_C_7,25.455,29.632,39.92,30.98,27.22,39.22733278,33.0475,25.98380577,27.02956109,30.36666667
H_C_8,26.4075,29.318,35.73593394,30.23,27.365,39.08,30.09,25.65578183,27.07122734,30.18666667
N_C_1,27.4075,30.296,36.24900121,31.765,28.64,36.18,32.5675,27.08355798,28.02176953,32.13333333
N_C_2,25.6475,29.294,34.39572974,30.33,27.34,35.215,29.3825,25.43470894,26.14699862,30.85333333
N_C_3,25.545,29.812,36.63806402,30.7025,27.97,37.685,32.15,25.98147417,27.22302804,31.68666667
N_C_4,24.92,29.146,35.09565468,30.955,27.57,35.97,29.75,24.23166476,25.91414926,30.67333333
N_C_5,25.77,29.58,34.53359832,30.085,27.27,37.315,29.495,24.83211331,26.28767929,30.36333333
N_C_6,24.345,29.542,37.10194979,29.915,27.04,36.03,30.695,26.7281144,27.35307714,31.49
N_C_7,26.6825,28.906,34.65521118,30.05,27.16,36.56,31.315,25.6053745,26.33511302,30.28333333
N_C_8,24.1125,30.342,36.5661175,31.235,29.45,37.575,32.865,27.29168986,28.20667905,31.67
S_C_1,25.8625,30.12,35.54510218,30.1775,28.555,35.63,31.2075,25.03218822,27.10934069,31.14333333
S_C_2,25.2825,28.808,34.01525811,28.905,27.575,35.27,29.8225,24.41389824,26.64998047,30.26333333
S_C_3,24.805,29.27,34.9229582,29.955,27.66,36.395,30.3525,24.96736011,26.551924,30.33
S_C_4,25.79,29.014,35.56286582,28.185,27.565,35.49,30.9525,24.69253327,26.98658293,30.62333333
S_C_5,25.905,29.404,35.50911609,29.8275,28.285,36.525,29.385,23.95814353,26.64939217,29.79666667
S_C_6,25.64,29.168,34.20361857,30.6575,26.965,37.13,31.4525,24.76393876,26.18650467,29.76666667
S_C_7,23.9875,29.042,35.82777129,29.565,28.745,38.435,31.2325,25.37427176,27.15532677,30.09333333
S_C_8,24.95,29.174,36.03415665,29.45,28.505,39.215,31.4625,25.26358583,27.02618923,30.26666667
H_T_1,28.0675,31.382,43,32.4275,28.445,39.93,32.2675,28.43370179,29.41449677,33.40333333
H_T_2,27.3425,29.894,41.04,30.9325,28.35,45,32.5325,26.15696127,28.45709308,32.65666667
H_T_3,27.4225,30.26,37.70187182,31.785,27.8,38.85535065,32.3975,26.23245237,29.07588698,32.97666667
H_T_4,25.71,29.888,37.07330648,30.975,28.24,37.20597147,29.2525,27.68403641,29.04331709,32.80333333
H_T_5,27.165,29.318,36.61365128,30.465,27.56,38.17,32.9575,27.27323165,28.81100353,33.32333333
H_T_6,26.69,30.062,40.78,31.21,28.01,38.72,32.42,26.43522454,28.91022164,32.78666667
H_T_7,26.485,29.022,41.92,30.74,26.565,38.68827343,30.8175,27.04372135,28.07940798,32.32333333
H_T_8,27.4175,29.682,39.475,30.9625,27.605,36.91778111,33.015,27.18496286,28.4051277,32.18
N_T_1,27.6075,30.568,36.87746493,32.605,30.1,39.02,34.375,28.07284293,29.36752669,33.04666667
N_T_2,26.3075,30.87,36.73565429,31.6475,30.86,45,33.3425,27.76483663,29.85740221,32.53666667
N_T_3,27.04,28.056,35.44630989,29.3625,28.265,39.04,32.515,26.53095607,27.06741723,31.09333333
N_T_4,28.58,30.892,38.33103353,32.96,29.18,38.69,29.2975,27.32863367,29.86755598,32.87
N_T_5,27.9275,30.352,36.35425161,31.6775,28.01,37.195,30.6075,25.23232439,27.74344666,30.84333333
N_T_6,27.0225,30.228,36.73182566,31.905,27.27,36.19,25.0775,27.100799,30.02294817,32.3
N_T_7,26.48,29.576,36.34242685,30.76,27.865,38.49,31.345,27.7394357,30.35265994,34.21333333
N_T_8,27.45,30.982,38.02825476,33.0075,29.3,39.17,34.6925,29.73635471,31.97151312,35.07666667
S_T_1,27.1875,30.098,36.75333333,30.01,28.605,36.32,27.65,28.64058467,29.96839223,33.91
S_T_2,26.525,29.018,37.24508041,30.8675,27.92,37.595,32.06,27.40161968,28.45197547,32.69666667
S_T_3,28.84,31.126,37.69473414,32.765,27.995,37.5,33.1925,28.81396131,30.30559988,33.66333333
S_T_4,27.7,30.238,36.78464829,31.245,27.73,36.18,30.4575,27.83723034,29.73345115,33.2
S_T_5,29.3725,32.34,42.18,33.17,29.49,38.96,32.4,29.214618,30.61514418,34.14333333
S_T_6,25.7725,30.972,37.47626401,32.39,28.7,37.39,31.6,28.04402945,29.34038708,32.98666667
S_T_7,27.4175,29.562,36.88899615,31.505,27.14,34.64,32.1675,27.55627367,28.06154632,32.45666667
S_T_8,27.57,30.08,39.20370025,31.825,29.945,37.535,31.6575,29.0275,30.17553441,33.51333333
H_M_1,23.895,28.245,34.87854791,29.07,26.24,37.64806497,31.28,24.74321525,27.74521638,30.125
H_M_2,24.855,27.185,39.11903164,28.355,26.08,35.28861064,31.315,24.08040794,26.9061775,30.06
H_M_3,25.105,28.115,39.37078671,29.27,26.64,38.07023145,30.265,24.34598362,27.38293029,30.03
H_M_4,24.39,28,33.91962786,28.155,26.51,37.12831814,28.005,23.5368685,26.30797855,30.22
H_M_5,24.84,27.63,42.05,27.77,25.545,38.29527768,27.315,24.04925033,25.77962437,29.71
H_M_6,24.985,27.6,35.34873598,27.21,25.655,35.80115666,26.83,24.06264232,26.30537216,30.08
H_M_7,24.27,27.71,33.97193583,26.785,25.685,35.33359811,31.66,24.91909733,26.39491947,31.605
H_M_8,24.165,28.735,42.49,26.95,25.805,37.74735658,28.91,24.520565,26.48260893,32.835
N_M_1,24.66,29.74,36.80909643,29.395,28.2,38.85026441,30.24,26.39338238,26.41633653,30.495
N_M_2,25.265,28.74,35.28770464,28.85,26.65,35.51117681,30.555,26.04818415,26.4477202,29.655
N_M_3,24.415,27.98,35.26126958,28.825,25.93,35.94143464,26.63,23.88039735,24.95547858,29.055
N_M_4,24.625,28.135,33.79797964,28.3,25.6,36.17710786,30.94,24.58546486,24.88536316,28.64
N_M_5,25.305,29.21,38.94268974,29.835,28.03,38.95159424,30.985,26.37796535,27.39578677,29.915
N_M_6,24.79,28.04,35.74366905,27.795,26.34,34.39171322,26.195,25.03125392,25.49519483,29.635
N_M_7,24.295,27.985,35.64630608,27.18,25.265,35.27097949,31.95,24.75547048,25.51787006,29.545
N_M_8,23.74,28.41,35.64857459,27.34,25.795,37.26133509,32.73,24.48825299,24.7631536,29.32
S_M_1,24.605,27.795,35.35937522,29.125,26.92,36.87857363,33.09,24.97894155,26.78016034,30.525
S_M_2,23.805,27.595,34.28761589,27.625,25.96,35.87237687,32.805,25.78652553,26.9521525,30.205
S_M_3,24.055,28.11,35.55691474,28.59,26.015,36.26999906,26.475,25.20090508,27.64270373,29.72
S_M_4,25.095,28.105,34.47637888,16.96,25.395,35.96760959,31.23,25.05660068,27.47724964,29.105
S_M_5,24.375,28.885,36.564498,18.66,27.075,37.67450395,33.455,25.21254,27.2385114,29.305
S_M_6,24.51,28.345,34.75313126,28.52,26.565,35.80917892,33.185,25.85004208,28.37895794,30.775
S_M_7,22.78,27.915,39.27745986,27.58,26.14,35.34808546,33.45,26.49718284,27.00021,29.98
S_M_8,22.82,28.59,33.44900018,28.085,26.545,34.23897455,32.55,24.55506098,26.43374718,29.045
